,Filing Name,Filing Date,Filing Type,Industry,Province,Link
0,Sunrise Acquisitions (Hwy 7) Inc,2021-06-28,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/sunrise-acquisitions-hwy-7-inc/
1,Spartan Bioscience Inc.,2021-06-21,CCAA,Healthcare,Ontario,https://insolvencyinsider.ca/filing/spartan-bioscience-inc-2/
2,"Alaska – Alberta Railway Development Corporation (“A2A Rail”), 7198362 Manitoba Ltd. and 12703131 Canada Ltd.",2021-06-18,NOI,Transportation,Alberta,https://insolvencyinsider.ca/filing/alaska-alberta-railway-development-corporation-a2a-rail-7198362-manitoba-ltd-and-12703131-canada-ltd/
3,Nautilus Plus Inc.,2021-06-14,NOI,Other,Quebec,https://insolvencyinsider.ca/filing/nautilus-plus-inc/
4,The Estate of Paul Zigomanis (the “Estate”),2021-06-10,Bankruptcy,Other,Ontario,https://insolvencyinsider.ca/filing/the-estate-of-paul-zigomanis-the-estate/
5,Pulse RX Inc. and Family Pharmacy Clinic Inc.,2021-06-10,Receivership,Healthcare,Ontario,https://insolvencyinsider.ca/filing/pulse-rx-inc-and-family-pharmacy-clinic-inc/
6,Datawind Inc. (aka Jeotex Corporation and aka Jeotex Inc. (“Jeotex”)),2021-06-10,Bankruptcy,Manufacturing / Technology,Ontario,https://insolvencyinsider.ca/filing/datawind-inc-aka-jeotex-corporation-and-aka-jeotex-inc-jeotex/
7,"Solis Foods Corporation Inc. (“Solis”), Vivian Group Inc. (“Vivian Group”) and 1610830 Alberta Ltd. (“161Co”)",2021-06-08,NOI,Food & Accommodation,Alberta,https://insolvencyinsider.ca/filing/solis-foods-corporation-inc-solis-vivian-group-inc-vivian-group-and-1610830-alberta-ltd-161co/
8,"Randhawa Group of Companies (“RGC”),",2021-06-07,Receivership,Transportation,Ontario,https://insolvencyinsider.ca/filing/randhawa-group-of-companies-rgc/
9,Duck Mountain Environmental Ltd.,2021-05-31,NOI,Professional Services,Saskatchewan,https://insolvencyinsider.ca/filing/duck-mountain-environmental-ltd/
10,2104678 Ontario Inc. (aka Yorkdale Hardwood Flooring Centre),2021-05-27,Bankruptcy,Retail,Ontario,https://insolvencyinsider.ca/filing/2104678-ontario-inc-aka-yorkdale-hardwood-flooring-centre/
11,O2 Industries Inc.,2021-05-27,Receivership,Healthcare,Ontario,https://insolvencyinsider.ca/filing/o2-industries-inc/
12,Queen Mary Park Place Ltd.,2021-05-26,Receivership,Other,Alberta,https://insolvencyinsider.ca/filing/queen-mary-park-place-ltd/
13,Altmore Mortgage Investment Corporation,2021-05-25,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/altmore-mortgage-investment-corporation/
